title;text
el payaso de los negocios;cuando el payaso entró con sus gigantescos zapatos y nariz roja a la conferencia para los dueños de negocios en quiebra todos los ejecutivos empezaron a reír al verlo de tal forma cuando el payaso empezó a hablar y los hombres de traje descubrieron que ese sería el ponente no pudieron aguantar las carcajadas el payaso habló de manera formal sin chistes y utilizando muchos tecnicismos dio una clase magistral exponiendo que el éxito de los negocios se aseguraba al aprovechar las oportunidades del mercado sin embargo mientras explicaba esto todos los presentes se reían y se aflojaban la corbata para reírse aún más de todo lo que el payaso decía sin prestarle mucha atención antes de finalizar la conferencia al ver la poca atención que los presentes le prestaban el payaso decidió mostrarles su cuenta bancaria y cuando los hombres de negocio vieron la gran cantidad de dinero que tenía el payaso finalmente se lo tomaron en serio y le preguntaron cómo había obtenido tanto dinero aprovechando las oportunidades del mercado les explicó el payaso aunque ya les había mencionado eso decenas de veces durante la conferencia pero cómo si eres solo un payaso refutó uno de los hombres ajustándose su caro reloj en la muñeca desde que entré a la sala ustedes se han estado riendo mío no es cierto dijo el payaso bueno desde que era pequeño la gente siempre ha tenido la costumbre por reírse de mí y no tomarme en serio y yo que hice en vez de luchar contra la gente y tratar de cambiar su perspectiva de mí o peor aún cambiar mi forma de ser para ser tomado en serio vi en eso una gran oportunidad y me volví payaso porque un payaso hace reír a la gente y si la gente se reía de mí que mejor y mas fácil forma de hacer dinero que cobrarles por lo que ya hacían de esa forma al volverme payaso me volví muy famoso por hacer reír a la gente tanto que las entradas a mis shows se encuentran agotadas hasta el próximo año los ejecutivos se quedaron perplejos mirándose unos a otros ante el ingenio del payaso y cómo podríamos identificar las oportunidades de nuestro negocios para ser tan ricos como usted preguntó uno eso ya lo expliqué hace media hora mientras ustedes se reían de mi ahora añadió el payaso sacando un reloj de oro con incrustaciones de diamantes de debajo de su manga si me disculpan la conferencia se acabó debo prepararme para mi show que empieza en media hora
el alcohólico no anónimo;quiero beber necesito alcohol gritó en frente de todos sin importar lo que pensaran ni lo que dijeran
la silla del jefe;la oficina estaba sola y bajo un haz de luz que entraba por la ventana estaba la silla del jefe que parecía brillar con todo su esplendor todos los hombres que se han sentado en ella han liderado la oficina con inteligencia por eso sale a brote la pregunta la silla hace al jefe o el jefe a la silla si bien es cierto la silla del jefe es solo un objeto así que probablemente solo sea un instrumento afortunado en el cual solo los hombres más sabios se han sentado aunque también es posible que esta silla posea inteligencia y que use a los hombres que se sientan en ella para transmitir sus conocimientos y tomar buenas decisiones quizás es por eso que sea tan deseada en la oficina y muchos sueñen con sentarse en ella porque a pesar de que todas las sillas de la oficina son iguales misma marca y mismo modelo la silla del jefe tiene un no sé qué que la hace diferente
el paso del hombre;un día cualquiera un hombre salió a pasear en su camino se encontró con un hermoso rosal lleno de brillantes rosas rojas y enamorado de su aroma las cortó hizo un bouquet y siguió su camino más adelante se encontró con un vid del cual guindaban varios racimos de suculentas uvas al verlas sintió hambre así que se detuvo y comió y comió hasta que no dejó ninguna luego el hombre siguió andando hasta que tropezó con una gallina que estaba empollando tres huevos y pensando en el desayuno del día siguiente los agarró y los guardó cuidadosamente entre las rosas sin embargo antes de seguir su camino el hombre se quedó pensando un momento y tras asentir también agarró la gallina y se la metió abajo del brazo el hombre siguió marchando recolectando todo lo que podía a su paso hasta que se cansó y cuando volteó la cabeza para mirar el camino de regreso descubrió que se había convertido en un desierto ese es el paso del hombre por la tierra
la carriola azul;cuando la mujer vio a llegar a su esposo con una hermosa y extravagante carriola azul se enojó y le preguntó enfurecida por qué la compraste azul si te dije que va a ser niña niña tenias que haberla comprado rosada o acaso no me escuchaste cuando te dije que sería niña shh shh cálmate querida yo te escuché cuando me dijiste que nuestra bebé será niña entonces por qué compraste la carriola azul mi amor porque yo soy el que la va a sacar a pasear en la carriola y yo soy hombre no voy a andar por el parque con una carriola rosada
la vida extra;de pronto mientras madre e hijo esperaban que la luz del semáforo cambiara el niño empezó a gritar y patalear en la parte trasera del vehículo qué te pasa estás bien lo cuestionó su madre preocupada mirándolo por el espejo retrovisor se me acabaron las vidas chilló el pequeño necesito una vida extra una vida extra le preguntó su madre irónicamente lo que necesitas es una vida sentenció a ver dame esa tablet no jugarás más con ella por una semana pero mamá por qué protestó el pequeño no es justo y ahora con qué voy a jugar si quieres jugar tendrás que hacerlo con los niños de la cuadra a ver si así consigues la vida extra que tanto necesitas
la fuente de la felicidad;había una vez un viajero que en una de sus tantas travesías encontró a un viejo moribundo en un camino desolado él viajero trató de ayudarlo pero el viejo ya había aceptado que era su hora de morir sin embargo ante la insistencia del viajero de brindarle ayuda el viejo le dio un mapa y le reveló su más grande secreto anda ve y disfruta ya yo voy de salida en este mundo pero tú eres un buen hombre así que espero que tengas una vida muy feliz pero no le reveles mi secreto a nadie porque de lo contrario serás muy infeliz le advirtió el viejo antes de morir el viajero esperó a que el viejo muriera y lo enterró al lado del camino luego sacó el mapa y se dirigió al lugar marcado para ver si era verdad lo que le había dicho el viejo tras tres días de viaje el viajero se encontró en un desierto y tal como lo marcaba el mapa allí en el medio de la nada había una pequeña fuente dorada ️ el viajero tomó del agua de la fuente e instantáneamente se sintió muy feliz así que regresó a su pueblo natal y olvidando la advertencia del viejo le contó a todo el mundo que había encontrado la fuente de la felicidad al principio nadie le creía pero tras tanto insistir un par de curiosos decidieron visitar la fuente y cuando regresaron al pueblo confirmaron el descubrimiento del viajero por lo que toda la gente del pueblo viajó a la fuente y se corrió la voz de la existencia de aquella agua que brindaba felicidad sin embargo no habían bebido del agua de la fuente ni setenta personas cuando la fuente dejó de funcionar el agua se había acabado y todos los pueblerinos enfurecidos empezaron a maldecir y a insultar al viajero por haberlos sacado de su pueblo y de sus oficios en vano desde entonces tal como lo había predecido el viejo moribundo el viajero fue muy infeliz y por más de que año tras año visitaba la fuente para ver si volvía a dar agua esta siempre estaba seca aunque tan pronto el viajero le daba la espalda la fuente se encendía de nuevo y lanzaba sus chorros de agua hasta el cielo
el antropófago;todos mis amigos me llamaron loco cuando acepté la invitación al nuevo y misterioso restaurante de la ciudad por parte de su excéntrico dueño pero no podía perder esa oportunidad porque una reseña a ese lugar haría que mi sitio web tuviera miles o quizás millones de visitas para llegar al restaurante te recibían en un fabuloso hotel ️️️️️ donde te vendaban los ojos y te montaban en un vehículo por aproximadamente 30 minutos nadie conocía la locación exacta del restaurante porque todos los clientes llegaban con los ojos vendados el mismo dueño del restaurante me quitó la venda cuando llegue al lugar y quedé un poco decepcionado el lugar no era más grande que mi pequeño apartamento tipo estudio pero eso sí todo el mobiliario era majestuoso candelabros de oro guindaban del techo manteles de la más fina y delicada seda vajilla de plata y cada butaca parecía un trono digno de la reina de inglaterra por aquí me indicó el dueño guiándome a una mesa para dos la verdad estoy muy emocionado por su visita espero que su reseña pueda atraer más clientes todo dependerá del servicio y del sabor de la comida le dije examinando mi alrededor habían pocas mesas y solo un par de ellas ocupadas pero me pareció ver que en ellas estaba el alcalde de la ciudad con su esposa y en otra el arzobispo de la iglesia con un par de monaguillos espero todo sea de su agrado tan pronto nos sentamos a la mesa un mesonero vestido como un mayordomo se nos acercó y me dio la carta los precios son caros me dijo el dueño antes de que leyera el menú si me permites déjame invitarte el especial de la casa esta bien asentí tras haber medio abierto el menú y verificar que todos los platos costaban más de 3 cifras usted me va a acompañar por los momentos no no tengo hambre respondió el dueño con una sonrisa y le ordenó al mesonero el especial de la casa por mí el plato llegó rápidamente y me dispuse a comerlo la verdad era exquisito el sabor era único delicioso y la carne era tan suave que se deshacía en mi boca nunca había probado nada similar era lo mejor que había comido en mi vida esto está delicioso qué es es la receta secreta de la casa dijo el dueño sonriendo no es res ni cerdo ni conejo deduje saboreando la suculenta carne tampoco pollo iguana caballo alce ni llama nunca lo adivinará dijo el dueño el especial es su plato favorito del menú le pregunté rindiéndome ante el delicioso sabor quería saber si habían otros platos tan sabrosos como el que me estaba comiendo oh no a pesar de haber fundado este restaurante nunca he probado ninguno de los platillos que aquí servimos pero la mayoría de mis clientes dicen que el especial es el mejor qué curioso que no coma la comida de su restaurante exclamé con la boca llena es usted vegano vegetariano ja ja no no nada de eso a mí me encanta la carne y entonces está es la mejor carne que he comida en mi vida la cuestión es que yo no soy antropófago dijo expandiendo su sonrisa al maximo yo tampoco respondí instantáneamente estás seguro inquirió el dueño intercambiando su pícara mirada entre mi plato y mi boca la idea me hizo sentir nauseas y corrí al baño donde me forcé el vomito una y otra vez hasta que perdí el conocimiento horas después desperté en uno de los muebles del hotel donde me habían recogido y regresé a casa confundido asqueado y más que todo avergonzado me sentía tan mal por lo que había comido que no pude escribir la reseña del lugar en mi sitio web y lo peor de todo es que a pesar de que esto sucedió hace un par de semanas todavía no me he podido quitar el sabor de la carne de mi boca porque muy interna y secretamente deseo volver a ese restaurante para repetir ese exquisito platillo
el 26 negro;después de tanto girar la esfera se detuvo en el número 3 rojo y la ruleta se detuvo casí gritó enojado dándole un golpe a la mesa había apostado al número de al lado el 26 negro esta vez sí balbuceó metiéndose la mano en el bolsillo pero al sacarla y contar los billetes que le quedaban volvió a golpear la mesa demonios solo le quedaba el dinero de renta no podía seguir jugando sin embargo intentó sacar cuentas en su mente pensando que gastos podía reducir para seguir jugando pero nada los números no le daban apuesta el dinero de la renta le dijo una vocecita al oído y al ver sobre su hombro se encontró con que la voz provenía de un pequeño diablito rojo aquel que siempre le susurraba que siguiera jugando recontó el dinero no no no no puedo se dijo vamos apuéstalo insistió el diablito se mordió los labios y vio el número 26 negro apuéstalo todo le dijo una vocecita diferente al otro oído y al girar la cabeza al otro lado vio al pequeño ángel vestido de blanco que siempre le decía que dejara el juego y al que nunca le hacía caso qué preguntó confundido tú también no lo podía creer su angelito le estaba diciendo que apostara sería una trampa o acaso algún tipo de psicología inversa si perdía quedaría en la calle apuesta dijo el diablito todo dijo el angelito apuéstalo todo dijeron ambos al unísono el eco de voces resonaban en sus oídos mientras miraba fijamente el 26 negro hasta que sus pensamientos fueron interrumpidos va a apostar le preguntó el croupier contó el dinero de nuevo y sacudió la cabeza no me retiro dijo rindiéndose el croupier puso la esfera a girar mientras él se paraba y se retiraba cabizbajo de la mesa de la ruleta pero antes de salir de la sala de juego lo invadió la curiosidad y volteó la cabeza para ver el resultado de la ruleta la esfera ya estaba deteniéndose y cayó con fuerza en el 0 verde pero no se detuvo y rebotó al 3 rojo antes de aterrizar en el 26 negro hubiera ganado se dijo bajando de nuevo la cabeza y saliendo del casino
sin suerte en el juego ni en el amor;miró las cartas que tenía malísimas estaba perdido era imposible que su hermosa contrincante tuviera una mano peor que la suya qué te parece si además del dinero apostamos un beso le propuso pensando que si la suerte no estaba de su lado en el juego quizás el amor le sonreiría si yo gano te doy un beso y si tú ganas me das un beso la hermosa mujer asintió levemente con la cabeza el repartidor dio la señal ambos mostraron sus manos empate anunció el repartidor al ver que por muy improbable que era los dos tenían las mismas cartas un jack y un 2 ambos se quedaron con las ganas
la leyenda del jackpot;ya nos podemos ir le pregunté a mi novio ya estaba fastidiada el sonido de las tragaperras y los gritos de las personas jugando me tenían con dolor de cabeza solo un ratito más querida estoy seguro que la máquina está a punto de pagarme el jackpot respondió sobándome la pierna crucé los brazos y me enfurruñé vamos querida no te pongas así recuerda que tú eres mi amuleto y cuando te pones así no gano tú nunca ganas me quejé nunca te has ganando un jackpot es más nunca en mi vida he visto a alguien ganarse uno los jackpot nunca salen solo son una leyenda pero mi novio no me estaba prestando atención estaba dando brinquitos en su asiento golpeando la pantalla de la máquina tragaperras dos logos de jackpot seguidos tres en línea cuatro y se atravesó un nueve ay casi ves te lo dije esos jackpot nunca salen sí salen querida entonces por qué nunca he visto uno porque tu nunca juegas me respondió mi novio a la ligera pero sus palabras a pesar de que estaba segura de que no las había pensado mucho me dejaron pensativa dame unas monedas le dije metiéndole la mano en su bote y agarrando algunas oh así es que me gusta querida juega y apuesta alto le metí las monedas a la máquina que tenía más cerca y noté que con el crédito que me había marcado podía jugar una vez todas las líneas en apuesta máxima o una sola línea diez veces la apuesta mínima así que para no gastar todas mis monedas en una sola jugada preferí jugar una línea diez veces en apuesta mínima le di al botón los símbolos de la pantalla comenzó a girar y aparecio un logo de jackpot dos seguidos tres cuatro y por último el quinto logo apareció formando una línea perfecta en la parte superior de la pantalla jackpot grité emocionada no lo podía creer no eran solo una leyenda me había ganado un jackpot quizás por mi suerte de principiante enserio querida somos ricos sí ven a ver mi novio miró mi pantalla emocionado pero al ver de cerca el resultado me dio unas palmaditas en la espalda y me dijo casi somos ricos por qué le pregunté confundida no saqué jackpot ahí están los cinco símbolos sí querida pero en la línea superior y tú solo jugaste la línea del medio si hubieras jugado en apuesta máxima si hubieramos ganado al escuchar las malas noticias me quedé viendo la pantalla de la máquina pérdida en mis pensamientos no es solo jugar por jugar querida es apostar y arriesgarse para ganar me dijo mi novio como si estuviera leyendo mi mente solo salió el jackpot porque no estaba apostando en esa línea le dije de lo contrario no hubiera salido los jackpot son solo una leyenda
calidez musical;la tormenta empeoraba con cada minuto que pasaba y el pobre músico muerto frío al no tener ni un pedazo de leña para encender su chimenea decidió ponerse a tocar su violín para mantenerse caliente entre suspiros el músico tocó las más tristes melodías las cuales aunadas a la tormenta creaban un ambiente melancólico mientras tocaba sentía que no tenía elección entre las piezas que sonaban porque era como si ellas solas llegaran y se conectaran con él y su violín haciendo arder su alma de placer de pronto un toc toc toc en su puerta lo interrumpió querido vecino soy del apartamento de arriba le dijo aquel hombre de traje con zapatos brillantes que estaba parado sobre su tapete que leía bienvenidos quisiera invitarlo a la fiesta que estamos teniendo porque nos alegraría mucho que nos deleite con su esplendorosa música mis amigos y yo somos amantes del violín y nos encantaría que pudiera tocarnos ciertas piezas un poco más alegres para animar nuestra velada eh no lo sé balbuceó el músico arriba tenemos un caluroso fuego encendido y bastante comida añadió el hombre de traje al echarle un vistazo al deplorable y lúgubre estado en el que estaba el apartamento del músico muchas gracias por su ofrecimiento vecino pero así como estoy me encuentro bien quizás en otra ocasión sentenció el músico cerrándole la puerta en la cara al hombre de traje sacudiéndose el mal sabor del encuentro acababa de suceder el músico retomó su violín y continuo tocando sus tristes melodías sientiendo aquella misteriosa conexión musical de antes que lo mantuvo cálido durante toda la noche tormentosa
la redención;para redimirte por haberlo dejado escapar expresó calmadamente el jefe botando el humo de su tabaco mientras hablaba tendrás que matar a su hija muy bien jefe así será usando esto añadió lanzándole una escopeta con la mano que tenía libre sí jefe como usted diga y tendrás que hacer que parezca un suicidio qué jefe eso es imposible cómo una niña de 3 años puede suicidarse con una escopeta no lo sé pero estoy seguro de que encontrarás la manera a no ser que quieras fallarme de nuevo no no jefe jamás lo haré lo haré como usted desee así me gusta aprobó el jefe inhalando de su tabaco y espero que esto te sirva de lección porque la próxima vez no seré tan condescendiente y el más mínimo error podría costarte la vida añadió sonriendo macabramente esa noche no pudo dormir pensando un plan para llevar a cabo su redención pero después de horas y horas de darle vuelta al asunto entendió que todo era farsa no tenía oportunidad de redimirse ante el jefe así que en un intento desesperado para redimirse llamó a la policia y les contó todo lo que sabía amaneció muerto pero con una peculiar sonrisa en su pálido y frío rostro que no había sonreído en años
el pasatiempo o la vocación;no necesitaba nanotecnología para escribir microcuentos porque llevaba la literatura en su sangre sin embargo su filosofía de solo escribir para sí mismo hizo que a pesar de sus dotes para ser un gran escritor terminara dando charlas de neurología barata para subsistir aunque no le gustara
el terror de los 30s;un pánico siniestro se apoderó de ella al verse esa mañana frente al espejo “esa no soy yo” se dijo al ver su reflejo negó con la cabeza se sacudió y rascándose los ojos se pellizcó el brazo una y otra vez para despertar de esa horrible pesadilla pero al sentir el dolor en su brazo descubrió que sí era ella y que eso que veía en su frente era una arruga nooooooo
